Date_Time,Logger1,Logger2,Logger3,Logger4,Logger5,Logger6,Logger7,Logger8,Logger9,Logger10,Logger11,Logger12
2013-09-19 15:15,45.818,43.694,45.281,46.401,47.299,46.66,45.559,45.696,45.652,45.36,45.818,45.611
2013-09-19 15:30,44.933,44.331,44.927,45.483,45.086,45.293,44.93,45.003,44.983,44.992,45.255,44.676
2013-09-19 15:45,56.777,55.709,58.791,55.099,59.071,59.241,54.847,52.033,53.27,50.671,56.393,53.847
2013-09-19 16:00,50.244,50.019,47.544,49.948,52.68,53.132,45.974,47.594,46.094,42.312,48.086,49.301
2013-09-19 16:15,45.347,45.276,42.654,45.733,47.328,46.541,41.68,44.168,43.405,40.193,43.302,45.543
2013-09-19 16:30,41.192,42.387,38.059,41.529,44.099,42.906,38.846,42.672,42.87,45.397,39.422,40.188
2013-09-19 16:45,44.614,46.724,42.545,45.503,48.285,47.043,43.674,48.486,48.456,50.261,44.28,43.77
2013-09-19 17:00,47.103,49.509,46.168,48.143,51.076,49.882,47.29,51.725,51.528,51.862,47.667,46.444
2013-09-19 17:15,49.022,51.501,48.767,50.052,53.083,51.867,49.819,53.803,53.567,54.187,50.04,48.418
2013-09-19 17:30,50.594,53.03,50.797,51.522,54.657,53.355,51.821,55.446,55.085,55.398,51.975,50.052
2013-09-19 17:45,51.825,54.284,52.39,52.715,55.921,54.474,53.571,56.816,56.329,56.705,53.602,51.311
2013-09-19 18:00,52.709,55.319,53.208,53.69,56.946,55.377,54.85,58.024,57.359,57.549,54.912,52.288
2013-09-19 18:15,53.631,56.201,54.122,54.574,57.724,56.068,56.816,59.299,58.392,58.764,56.6,53.302
2013-09-19 18:30,54.471,57.006,55.467,55.532,58.515,57.021,57.784,60.545,59.107,59.318,57.972,54.202
2013-09-19 18:45,55.122,57.717,55.931,56.057,59.065,57.544,58.827,61.297,59.844,59.962,58.862,54.854
2013-09-19 19:00,55.741,58.327,56.387,56.548,59.524,58.001,59.886,62.281,60.507,60.693,59.859,55.408
2013-09-19 19:15,56.702,59.008,58.49,57.874,60.529,59.015,60.723,63.403,61.13,61.368,60.914,56.493
2013-09-19 19:30,57.551,59.886,59.316,58.782,61.365,60.008,61.362,63.322,61.582,61.725,61.461,57.404
2013-09-19 19:45,58.091,60.271,59.579,59.286,61.779,60.51,61.594,63.342,61.874,61.957,61.659,57.976
2013-09-19 20:00,58.505,60.526,59.774,59.637,62.033,60.8,61.758,63.38,62.159,62.093,61.822,58.328
2013-09-19 20:15,58.853,60.72,59.934,59.954,62.23,61.055,61.948,63.449,62.409,62.226,61.982,58.707
2013-09-19 20:30,59.136,60.88,60.06,60.206,62.359,61.214,62.073,63.539,62.599,62.329,62.137,58.96
2013-09-19 20:45,59.388,61.009,60.183,60.427,62.488,61.374,62.225,63.63,62.754,62.424,62.259,59.209
2013-09-19 21:00,59.606,61.131,60.305,60.644,62.613,61.499,62.376,63.69,62.905,62.518,62.38,59.457
2013-09-19 21:15,59.82,61.226,60.427,60.827,62.708,61.594,62.524,63.746,62.996,62.609,62.527,59.671
2013-09-19 21:30,60.003,61.347,60.545,61.043,62.798,61.716,62.671,63.829,63.082,62.639,62.679,59.855
2013-09-19 21:45,60.187,61.404,60.693,61.222,62.889,61.807,62.788,63.885,63.139,62.7,62.762,60.068
2013-09-19 22:00,60.366,61.526,60.808,61.374,62.98,61.898,62.841,63.907,63.225,62.726,62.784,60.248
2013-09-19 22:15,60.514,61.639,60.925,61.522,63.066,61.985,62.863,63.929,63.282,62.722,62.78,60.396
2013-09-19 22:30,60.693,61.787,61.07,61.67,63.183,62.102,62.825,63.951,63.334,62.748,62.742,60.545
2013-09-19 22:45,60.781,61.905,61.184,61.814,63.27,62.185,62.787,63.939,63.33,62.714,62.73,60.689
2013-09-19 23:00,60.895,62.018,61.298,61.931,63.387,62.242,62.779,63.961,63.348,62.706,62.722,60.807
2013-09-19 23:15,61.039,62.071,61.351,62.045,63.409,62.325,62.767,64.043,63.34,62.668,62.744,60.952
2013-09-19 23:30,61.123,62.124,61.43,62.158,63.461,62.408,62.789,64.181,63.363,62.691,62.733,61.066
2013-09-19 23:45,61.236,62.146,61.483,62.271,63.483,62.461,62.838,64.293,63.355,62.713,62.781,61.149
2013-09-20 0:00,61.346,62.169,61.532,62.324,63.566,62.513,62.916,64.367,63.373,62.701,62.834,61.259
2013-09-20 0:15,61.43,62.187,61.551,62.433,63.588,62.562,62.965,64.419,63.391,62.719,62.878,61.342
2013-09-20 0:30,61.509,62.206,61.6,62.486,63.636,62.614,63.013,64.433,63.379,62.711,62.896,61.422
2013-09-20 0:45,61.588,62.194,61.649,62.534,63.624,62.663,63.001,64.391,63.307,62.7,62.915,61.471
2013-09-20 1:00,61.668,62.212,61.698,62.583,63.646,62.681,62.985,64.374,63.321,62.658,62.899,61.52
2013-09-20 1:15,61.713,62.201,61.713,62.597,63.664,62.7,63.004,64.332,63.279,62.642,62.917,61.569
2013-09-20 1:30,61.761,62.219,61.727,62.616,63.652,62.718,62.988,64.286,63.263,62.626,62.931,61.588
2013-09-20 1:45,61.81,62.203,61.776,62.634,63.64,62.762,63.002,64.24,63.217,62.584,62.95,61.606
2013-09-20 2:00,61.825,62.218,61.791,62.648,63.654,62.751,63.016,64.228,63.235,62.598,62.994,61.621
2013-09-20 2:15,61.87,62.206,61.84,62.667,63.672,62.769,63.064,64.216,63.219,62.586,63.008,61.636
2013-09-20 2:30,61.888,62.224,61.854,62.655,63.69,62.783,63.083,64.199,63.233,62.571,63.026,61.654
2013-09-20 2:45,61.933,62.239,61.869,62.699,63.674,62.771,63.097,64.157,63.221,62.589,63.071,61.703
2013-09-20 3:00,61.982,62.257,61.914,62.717,63.692,62.79,63.111,64.145,63.209,62.573,63.089,61.718
2013-09-20 3:15,61.966,62.246,61.932,62.732,63.706,62.804,63.129,64.099,63.193,62.591,63.103,61.706
2013-09-20 3:30,62.015,62.26,61.981,62.72,63.724,62.822,63.147,64.087,63.241,62.576,63.091,61.751
2013-09-20 3:45,62.033,62.278,61.995,62.768,63.712,62.84,63.131,64.071,63.225,62.594,63.109,61.769
2013-09-20 4:00,62.078,62.293,62.04,62.752,63.73,62.824,63.145,64.059,63.213,62.578,63.123,61.784
2013-09-20 4:15,62.096,62.281,62.058,62.801,63.743,62.873,63.163,64.017,63.231,62.596,63.141,61.803
2013-09-20 4:30,62.115,62.299,62.107,62.815,63.731,62.861,63.182,64.034,63.246,62.611,63.129,61.821
2013-09-20 4:45,62.129,62.314,62.121,62.803,63.745,62.875,63.166,64.048,63.234,62.629,63.144,61.836
2013-09-20 5:00,62.174,62.332,62.14,62.821,63.763,62.863,63.188,64.01,63.252,62.647,63.132,61.854
2013-09-20 5:15,62.192,62.32,62.158,62.835,63.781,62.881,63.202,64.024,63.236,62.661,63.15,61.903
2013-09-20 5:30,62.21,62.335,62.172,62.853,63.795,62.895,63.19,63.982,63.224,62.649,63.134,61.887
2013-09-20 5:45,62.225,62.293,62.191,62.842,63.753,62.883,63.208,63.97,63.212,62.668,63.152,61.905
2013-09-20 6:00,62.213,62.307,62.205,62.856,63.771,62.902,63.192,63.928,63.196,62.622,63.14,61.95
2013-09-20 6:15,62.231,62.295,62.223,62.874,63.755,62.886,63.15,63.886,63.184,62.64,63.154,61.938
2013-09-20 6:30,62.246,62.283,62.238,62.892,63.743,62.874,63.168,63.844,63.168,62.624,63.112,61.923
2013-09-20 6:45,62.234,62.268,62.256,62.876,63.756,62.892,63.122,63.802,63.156,62.612,63.1,61.941
2013-09-20 7:00,62.252,62.282,62.274,62.894,63.744,62.876,63.11,63.76,63.14,62.536,63.118,61.959
2013-09-20 7:15,62.266,62.27,62.258,62.882,63.732,62.864,63.098,63.748,63.128,62.555,63.102,61.944
2013-09-20 7:30,62.255,62.288,62.307,62.866,63.746,62.882,63.086,63.68,63.112,62.539,63.064,61.992
2013-09-20 7:45,62.269,62.273,62.355,62.884,63.764,62.87,63.104,63.668,63.13,62.557,63.082,61.98
2013-09-20 8:00,62.287,62.291,62.433,62.902,63.811,62.888,63.096,63.656,63.148,62.605,63.07,61.999
2013-09-20 8:15,62.305,62.339,62.511,62.92,63.829,62.906,63.084,63.618,63.17,62.653,63.088,62.047
2013-09-20 8:30,62.357,62.391,62.563,62.938,63.907,62.924,63.106,63.64,63.218,62.761,63.11,62.095
2013-09-20 8:45,62.717,62.725,63.315,63.387,64.29,63.22,64.661,66.38,64.185,64.325,64.55,62.511
2013-09-20 9:00,63.285,63.502,65.191,63.954,65.093,63.728,66.524,68.517,65.107,65.598,66.414,63.144
2013-09-20 9:15,63.703,63.95,65.399,64.431,65.45,64.056,66.967,69.37,65.7,66.338,66.71,63.592
2013-09-20 9:30,64.061,64.252,65.844,64.847,65.776,64.413,67.148,69.579,66.118,66.752,66.979,63.95
2013-09-20 9:45,64.393,64.461,66.085,65.174,66.013,64.711,67.299,69.417,66.326,66.988,67.215,64.248
2013-09-20 10:00,64.631,64.673,66.3,65.475,66.279,64.983,67.514,69.137,66.482,67.228,67.459,64.52
2013-09-20 10:15,64.907,65.064,66.811,65.928,66.672,65.377,68.056,69.164,66.667,67.859,68.065,64.885
2013-09-20 10:30,65.216,65.373,67.064,66.232,66.946,65.712,68.279,69.181,66.887,67.926,68.284,65.22
2013-09-20 10:45,65.585,65.83,67.611,66.688,67.367,66.135,68.741,69.383,67.14,68.296,68.746,65.648
2013-09-20 11:00,65.957,66.325,68.049,67.178,67.797,66.629,69.149,69.531,67.431,68.611,69.094,66.084
2013-09-20 11:15,66.333,66.697,68.424,67.524,68.167,66.971,69.434,69.762,67.717,68.901,69.385,66.486
2013-09-20 11:30,66.68,67.043,68.714,67.898,68.512,67.347,69.753,70.023,68.004,69.245,69.704,66.832
2013-09-20 11:45,67.031,67.482,69.181,68.273,68.915,67.722,70.102,70.313,68.295,69.594,70.019,67.208
2013-09-20 12:00,67.288,67.71,69.349,68.56,69.113,68.009,70.299,70.51,68.586,69.792,70.221,67.499
2013-09-20 12:15,67.242,67.368,68.741,68.312,68.866,67.849,69.631,70.463,68.619,69.683,69.606,67.364
2013-09-20 12:30,67.191,67.2,68.624,68.262,68.787,67.769,69.572,70.576,68.594,69.604,69.547,67.284
2013-09-20 12:45,67.229,67.179,68.569,68.266,68.796,67.744,69.518,70.58,68.573,69.584,69.522,67.318
2013-09-20 13:00,67.238,67.183,68.578,68.334,68.8,67.753,69.522,70.497,68.578,69.534,69.502,67.356
2013-09-20 13:15,67.301,67.28,68.645,68.401,68.897,67.879,69.565,70.477,68.616,69.45,69.54,67.394
2013-09-20 13:30,67.428,67.407,68.747,68.498,68.994,67.976,69.637,70.465,68.688,69.43,69.582,67.521
2013-09-20 13:45,67.559,67.567,68.848,68.629,69.154,68.132,69.708,70.479,68.818,69.443,69.683,67.652
2013-09-20 14:00,67.69,67.762,69.012,68.785,69.314,68.293,69.814,70.497,68.924,69.515,69.789,67.783
2013-09-20 14:15,67.821,67.952,69.147,68.949,69.503,68.487,69.949,70.607,69.089,69.62,69.924,67.947
2013-09-20 14:30,67.985,68.116,69.257,69.114,69.667,68.647,70.113,70.771,69.194,69.697,70.034,68.112
2013-09-20 14:45,68.121,68.252,69.393,69.244,69.802,68.841,70.253,70.964,69.334,69.744,70.169,68.243
2013-09-20 15:00,68.256,68.391,69.469,69.384,69.937,68.976,70.417,71.157,69.44,69.82,70.338,68.383
2013-09-20 15:15,68.362,68.468,69.516,69.485,70.014,69.082,70.493,71.292,69.516,69.867,70.414,68.518
2013-09-20 15:30,68.957,69.353,70.675,70.309,70.861,69.819,71.391,71.49,69.791,70.532,71.166,69.192
2013-09-20 15:45,69.232,69.598,70.49,70.495,71.072,70.118,71.002,70.783,69.86,70.601,70.718,69.442
2013-09-20 16:00,69.267,69.545,70.114,70.443,71.02,70.124,70.539,70.344,69.836,70.377,70.283,69.448
2013-09-20 16:15,69.209,69.369,69.792,70.302,70.851,70.013,70.213,70.106,69.69,70.227,69.986,69.361
2013-09-20 16:30,69.214,69.337,69.73,70.27,70.848,69.98,70.067,70.014,69.721,70.288,69.87,69.362
2013-09-20 16:45,69.274,69.397,69.736,70.331,70.938,70.075,70.069,70.134,69.752,70.201,69.842,69.422
2013-09-20 17:00,69.178,69.187,69.488,70.151,70.73,69.92,69.876,70.34,69.74,70.189,69.737,69.271
2013-09-20 17:15,69.166,69.086,69.467,70.11,70.694,69.879,69.977,70.462,69.758,70.153,69.839,69.259
2013-09-20 17:30,69.065,68.981,69.303,70.01,70.59,69.749,69.868,70.437,69.707,70.107,69.789,69.154
2013-09-20 17:45,68.985,68.816,69.13,69.905,70.46,69.644,69.755,70.496,69.662,69.969,69.704,69.049
2013-09-20 18:00,68.812,68.52,68.804,69.703,70.17,69.412,69.839,70.508,69.539,69.733,69.784,68.846
2013-09-20 18:15,68.727,68.346,68.681,69.585,70.028,69.298,70.011,70.675,69.45,69.614,69.927,68.727
2013-09-20 18:30,68.638,68.228,68.617,69.496,69.91,69.18,70.095,70.755,69.357,69.496,69.982,68.638
2013-09-20 18:45,68.575,68.134,68.524,69.437,69.851,69.091,70.091,70.804,69.269,69.408,69.977,68.579
2013-09-20 19:00,68.545,68.075,68.49,69.437,69.762,69.057,70.086,70.795,69.235,69.315,69.943,68.545
2013-09-20 19:15,68.482,68.011,68.486,69.403,69.733,69.023,70.019,70.791,69.171,69.251,69.905,68.482
2013-09-20 19:30,68.477,67.982,68.422,69.369,69.669,68.994,69.985,70.753,69.167,69.163,69.842,68.482
2013-09-20 19:45,68.443,67.918,68.448,69.336,69.635,68.96,69.946,70.656,69.133,69.065,69.803,68.448
2013-09-20 20:00,68.409,67.909,68.414,69.361,69.572,68.926,69.883,70.563,69.095,69.002,69.74,68.414
2013-09-20 20:15,68.375,67.875,68.375,69.293,69.538,68.858,69.786,70.466,69.061,68.938,69.672,68.375
2013-09-20 20:30,68.337,67.837,68.337,69.259,69.504,68.854,69.689,70.369,68.993,68.841,69.575,68.341
2013-09-20 20:45,68.329,67.803,68.299,69.221,69.466,68.786,69.562,70.242,68.925,68.773,69.448,68.303
2013-09-20 21:00,68.265,67.765,68.231,69.157,69.432,68.752,69.464,70.175,68.857,68.675,69.351,68.235
2013-09-20 21:15,68.222,67.727,68.163,69.089,69.393,68.714,69.367,70.077,68.789,68.607,69.249,68.201
2013-09-20 21:30,68.188,67.688,68.095,69.051,69.326,68.646,69.27,70.01,68.692,68.48,69.152,68.133
2013-09-20 21:45,68.176,67.62,68.057,68.983,69.258,68.607,69.168,69.913,68.594,68.353,69.054,68.095
2013-09-20 22:00,68.108,67.552,67.959,68.915,69.19,68.54,69.012,69.757,68.467,68.226,68.928,68.027
2013-09-20 22:15,68.074,67.514,67.921,68.877,69.152,68.472,68.919,69.605,68.4,68.129,68.83,67.959
2013-09-20 22:30,68.006,67.476,67.853,68.809,69.088,68.433,68.822,69.537,68.332,68.061,68.737,67.892
2013-09-20 22:45,67.938,67.442,67.785,68.746,69.08,68.4,68.754,69.474,68.268,67.997,68.674,67.853
2013-09-20 23:00,67.904,67.404,67.751,68.708,69.041,68.332,68.72,69.44,68.23,67.929,68.636,67.815
2013-09-20 23:15,67.866,67.4,67.718,68.674,69.008,68.327,68.682,69.436,68.192,67.895,68.597,67.781
2013-09-20 23:30,67.857,67.361,67.709,68.636,68.969,68.319,68.648,69.456,68.158,67.887,68.534,67.747
2013-09-20 23:45,67.823,67.323,67.7,68.597,68.961,68.281,68.639,69.418,68.179,67.849,68.53,67.709
2013-09-21 0:00,67.789,67.349,67.667,68.623,68.956,68.276,68.635,69.443,68.175,67.844,68.521,67.7
2013-09-21 0:15,67.781,67.344,67.658,68.589,68.952,68.242,68.63,69.468,68.166,67.806,68.542,67.696
2013-09-21 0:30,67.772,67.336,67.654,68.58,68.943,68.234,68.651,69.46,68.162,67.832,68.508,67.662
2013-09-21 0:45,67.768,67.332,67.645,68.576,68.909,68.229,68.647,69.455,68.187,67.853,68.533,67.624
2013-09-21 1:00,67.764,67.323,67.671,68.542,68.934,68.225,68.643,69.48,68.149,67.848,68.525,67.649
2013-09-21 1:15,67.726,67.378,67.666,68.592,68.926,68.217,68.664,69.505,68.199,67.844,68.55,67.641
2013-09-21 1:30,67.781,67.37,67.687,68.584,68.921,68.242,68.714,69.497,68.225,67.895,68.604,67.637
2013-09-21 1:45,67.747,67.425,67.679,68.579,68.942,68.204,68.739,69.522,68.25,67.886,68.625,67.628
2013-09-21 2:00,67.768,67.421,67.704,68.575,68.967,68.229,68.764,69.483,68.271,67.941,68.651,67.653
2013-09-21 2:15,67.759,67.353,67.696,68.566,68.959,68.22,68.756,69.479,68.262,67.933,68.642,67.649
2013-09-21 2:30,67.751,67.344,67.662,68.587,68.954,68.216,68.717,69.416,68.224,67.958,68.633,67.641
2013-09-21 2:45,67.717,67.336,67.653,68.553,68.916,68.207,68.679,69.378,68.19,67.949,68.595,67.632
2013-09-21 3:00,67.742,67.331,67.645,68.549,68.907,68.203,68.675,69.369,68.182,67.911,68.561,67.653
2013-09-21 3:15,67.734,67.323,67.64,68.511,68.903,68.194,68.666,69.335,68.177,67.907,68.553,67.619
