Date_Time,Logger1,Logger2,Logger3,Logger4,Logger5,Logger6,Logger7,Logger8,Logger9,Logger10,Logger11,Logger12
2015-11-29 0:00,80.233,80.628,80.359,80.403,81.712,81.132,80.738,80.304,80.842,81.27,81.51,81.225
2015-11-29 0:15,80.206,80.568,80.299,80.376,81.679,81.105,80.732,80.276,80.815,81.21,81.477,81.225
2015-11-29 0:30,80.178,80.54,80.244,80.321,81.652,81.044,80.678,80.249,80.787,81.155,81.45,81.171
2015-11-29 0:45,80.146,80.508,80.183,80.288,81.619,81.017,80.678,80.189,80.732,81.149,81.39,81.138
2015-11-29 1:00,80.118,80.48,80.156,80.228,81.592,80.984,80.618,80.156,80.7,81.095,81.362,81.105
2015-11-29 1:15,80.085,80.475,80.178,80.223,81.532,81.006,80.585,80.129,80.667,81.062,81.335,81.105
2015-11-29 1:30,80.08,80.492,80.146,80.163,81.522,80.996,80.53,80.068,80.634,81.029,81.27,81.045
2015-11-29 1:45,80.08,80.514,80.113,80.157,81.462,80.991,80.492,80.036,80.574,80.997,81.242,80.985
2015-11-29 2:00,80.042,80.476,80.108,80.097,81.456,80.975,80.432,80.008,80.542,80.931,81.149,80.953
2015-11-29 2:15,79.982,80.466,80.097,80.059,81.418,80.964,80.394,79.97,80.476,80.899,81.117,80.92
2015-11-29 2:30,79.971,80.45,80.032,80.021,81.353,80.981,80.334,79.882,80.416,80.806,81.024,80.855
2015-11-29 2:45,79.933,80.439,80.021,79.928,81.315,80.965,80.296,79.817,80.351,80.768,80.991,80.789
2015-11-29 3:00,79.896,80.401,79.983,79.89,81.25,80.949,80.258,79.757,80.285,80.703,80.926,80.724
2015-11-29 3:15,79.885,80.358,79.94,79.825,81.239,80.966,80.22,79.691,80.22,80.637,80.888,80.631
2015-11-29 3:30,79.82,80.347,79.902,79.759,81.174,80.955,80.154,79.598,80.209,80.599,80.823,80.566
2015-11-29 3:45,79.809,80.337,79.864,79.694,81.136,80.912,80.144,79.56,80.144,80.561,80.812,80.5
2015-11-29 4:00,79.771,80.326,79.854,79.629,81.07,80.906,80.106,79.495,80.078,80.501,80.774,80.462
2015-11-29 4:15,79.761,80.316,79.843,79.591,81.038,80.896,80.068,79.457,80.041,80.463,80.709,80.397
2015-11-29 4:30,79.75,80.333,79.827,79.525,80.972,80.88,80.03,79.419,80.008,80.425,80.671,80.359
2015-11-29 4:45,79.712,80.295,79.822,79.487,80.907,80.842,80.019,79.381,79.97,80.36,80.66,80.321
2015-11-29 5:00,79.702,80.284,79.806,79.422,80.869,80.831,79.954,79.343,79.904,80.295,80.595,80.311
2015-11-29 5:15,79.664,80.268,79.768,79.411,80.837,80.821,79.944,79.278,79.867,80.262,80.562,80.245
2015-11-29 5:30,79.626,80.263,79.758,79.373,80.799,80.805,79.878,79.24,79.801,80.224,80.524,80.207
2015-11-29 5:45,79.615,80.247,79.747,79.335,80.761,80.794,79.868,79.202,79.791,80.186,80.459,80.169
2015-11-29 6:00,79.578,80.237,79.737,79.298,80.75,80.783,79.83,79.164,79.725,80.121,80.421,80.131
2015-11-29 6:15,79.534,80.221,79.694,79.254,80.679,80.767,79.759,79.126,79.66,80.078,80.35,80.066
2015-11-29 6:30,79.496,80.205,79.683,79.239,80.614,80.779,79.749,79.06,79.622,80.04,80.285,80.028
2015-11-29 6:45,79.508,80.194,79.695,79.201,80.571,80.79,79.733,78.99,79.579,79.996,80.247,79.985
2015-11-29 7:00,79.47,80.184,79.684,79.163,80.533,80.779,79.695,78.979,79.541,79.958,80.209,79.947
2015-11-29 7:15,79.427,80.195,79.696,79.152,80.522,80.763,79.684,78.936,79.503,79.92,80.193,79.931
2015-11-29 7:30,79.444,80.212,79.686,79.115,80.484,80.752,79.674,78.898,79.438,79.883,80.155,79.893
2015-11-29 7:45,79.406,80.174,79.675,79.071,80.419,80.769,79.663,78.888,79.4,79.845,80.117,79.883
2015-11-29 8:00,79.396,80.163,79.659,79.066,80.381,80.731,79.625,78.85,79.389,79.807,80.079,79.845
2015-11-29 8:15,79.385,80.153,79.676,79.023,80.37,80.748,79.61,78.84,79.319,79.741,80.069,79.834
2015-11-29 8:30,79.375,80.142,79.638,79.013,80.305,80.737,79.572,78.797,79.281,79.703,80.004,79.796
2015-11-29 8:45,79.337,80.104,79.628,78.975,80.267,80.694,79.534,78.759,79.243,79.666,79.988,79.758
2015-11-29 9:00,79.321,80.088,79.617,78.964,80.229,80.683,79.523,78.721,79.177,79.628,79.922,79.742
2015-11-29 9:15,79.283,80.05,79.579,78.926,80.191,80.672,79.485,78.683,79.139,79.59,79.912,79.677
2015-11-29 9:30,79.273,80.012,79.536,78.883,80.153,80.656,79.447,78.667,79.101,79.524,79.847,79.667
2015-11-29 9:45,79.262,80.002,79.525,78.845,80.088,80.645,79.437,78.629,79.036,79.486,79.809,79.629
2015-11-29 10:00,79.219,79.964,79.515,78.835,80.05,80.607,79.421,78.591,78.998,79.416,79.771,79.591
