Date_Time,Logger1,Logger2,Logger3,Logger4,Logger5,Logger6,Logger7,Logger8,Logger9,Logger10,Logger11,Logger12
2015-12-15 0:00,60.361,57.934,58.778,58.19,59.127,59.131,59.515,58.494,58.413,58.528,60.04,59.761
2015-12-15 0:15,60.335,57.911,58.755,58.135,59.104,59.108,59.492,58.471,58.389,58.536,59.986,59.737
2015-12-15 0:30,60.281,57.884,58.697,58.081,59.077,59.081,59.435,58.447,58.366,58.447,59.933,59.741
2015-12-15 0:45,60.258,57.86,58.674,58.058,59.023,59.027,59.411,58.393,58.308,58.451,59.936,59.687
2015-12-15 1:00,60.231,57.802,58.65,58,59.027,59.034,59.388,58.397,58.346,58.427,59.883,59.664
2015-12-15 1:15,60.178,57.809,58.623,57.976,59.034,58.977,59.33,58.373,58.319,58.404,59.856,59.637
2015-12-15 1:30,60.124,57.782,58.6,57.949,59.038,58.98,59.334,58.319,58.295,58.439,59.833,59.641
2015-12-15 1:45,60.097,57.786,58.573,57.925,59.042,58.984,59.28,58.292,58.299,58.411,59.806,59.618
2015-12-15 2:00,60.04,57.758,58.546,57.867,59.042,58.957,59.253,58.295,58.303,58.415,59.779,59.591
2015-12-15 2:15,60.017,57.731,58.549,57.84,59.019,58.961,59.226,58.268,58.276,58.419,59.721,59.595
2015-12-15 2:30,59.986,57.735,58.553,57.813,59.019,58.964,59.23,58.241,58.279,58.422,59.756,59.568
2015-12-15 2:45,59.963,57.738,58.526,57.786,59.026,58.972,59.234,58.249,58.314,58.395,59.729,59.541
2015-12-15 3:00,59.932,57.711,58.53,57.758,59.026,58.972,59.207,58.218,58.287,58.434,59.702,59.545
2015-12-15 3:15,59.879,57.684,58.503,57.7,58.999,58.945,59.18,58.194,58.26,58.372,59.675,59.518
2015-12-15 3:30,59.848,57.622,58.472,57.638,58.968,58.914,59.118,58.132,58.198,58.345,59.617,59.491
2015-12-15 3:45,59.821,57.591,58.383,57.611,58.972,58.856,59.091,58.074,58.14,58.283,59.556,59.429
2015-12-15 4:00,59.729,57.498,58.29,57.518,58.937,58.795,58.999,58.013,58.109,58.252,59.495,59.399
2015-12-15 4:15,59.668,57.436,58.198,57.46,58.907,58.702,58.968,57.955,58.047,58.191,59.433,59.341
2015-12-15 4:30,59.641,57.375,58.136,57.398,58.814,58.641,58.937,57.893,58.016,58.129,59.375,59.279
2015-12-15 4:45,59.575,57.313,58.044,57.336,58.753,58.544,58.845,57.831,57.924,58.036,59.314,59.245
2015-12-15 5:00,59.548,57.375,58.047,57.367,58.664,58.517,58.849,57.862,57.955,58.009,59.345,59.218
2015-12-15 5:15,59.172,56.692,57.253,55.899,58.016,57.894,58.002,56.586,57.222,56.994,58.036,58.249
2015-12-15 5:30,58.562,56.115,56.652,54.813,57.526,57.469,57.437,55.325,56.532,56.328,57.286,57.231
2015-12-15 5:45,58.005,55.635,56.176,54.248,57.174,57.086,56.995,54.639,55.997,55.917,56.848,56.638
2015-12-15 6:00,57.66,55.227,55.796,53.87,56.74,56.738,56.65,54.203,55.527,55.448,56.472,56.293
2015-12-15 6:15,57.377,54.851,55.454,53.621,56.341,56.459,56.37,53.985,55.154,55.106,56.192,56.072
2015-12-15 6:30,57.163,54.543,55.144,53.375,56.003,56.152,56.125,53.798,54.785,54.768,55.916,55.947
2015-12-15 6:45,56.945,54.236,54.868,53.314,55.642,55.849,55.881,53.771,54.481,54.464,55.705,55.888
2015-12-15 7:00,56.797,53.998,54.599,53.259,55.373,55.58,55.67,53.713,54.243,54.226,55.495,55.77
2015-12-15 7:15,56.649,53.822,54.391,53.301,55.112,55.343,55.525,53.72,54.036,53.987,55.288,55.687
2015-12-15 7:30,56.535,53.677,54.247,53.281,54.847,55.139,55.322,53.7,53.828,53.753,55.112,55.539
2015-12-15 7:45,56.39,53.535,54.043,53.167,54.643,54.967,55.181,53.586,53.656,53.58,54.94,55.397
2015-12-15 8:00,56.279,53.491,53.967,53.119,54.571,54.864,55.101,53.535,53.549,53.532,54.891,55.287
2015-12-15 8:15,56.204,53.387,53.771,52.919,54.406,54.633,54.964,53.428,53.411,53.397,54.754,55.242
2015-12-15 8:30,56.062,53.246,53.629,52.902,54.261,54.492,54.795,53.317,53.301,53.225,54.581,55.008
2015-12-15 8:45,55.863,53.236,53.654,52.202,54.354,54.454,54.409,52.556,53.131,53.339,54.63,54.626
2015-12-15 9:00,55.729,53.174,53.585,52.224,54.295,54.361,54.306,52.636,53.152,53.364,54.712,54.554
2015-12-15 9:15,55.657,53.177,53.616,52.376,54.237,54.392,54.24,52.661,53.215,53.426,54.771,54.55
2015-12-15 9:30,55.592,53.149,53.647,52.623,54.209,54.426,54.24,53,53.246,53.426,54.863,54.702
2015-12-15 9:45,55.626,53.125,53.685,52.875,54.157,54.437,54.368,53.156,53.311,53.433,55.022,54.674
2015-12-15 10:00,55.664,53.076,53.691,52.972,54.081,54.388,54.468,53.128,53.384,53.443,55.122,54.65
2015-12-15 10:15,55.547,52.992,53.605,52.917,53.936,54.274,54.354,53.041,53.269,53.356,55.07,54.475
2015-12-15 10:30,55.4,52.781,53.394,52.705,53.66,54.064,54.023,52.577,52.996,53.051,54.829,54.078
2015-12-15 10:45,55.252,52.538,53.214,52.587,53.483,53.853,53.933,52.552,52.784,52.871,54.743,54.054
2015-12-15 11:00,55.104,52.388,53.034,52.469,53.237,53.642,53.753,52.403,52.572,52.597,54.595,53.902
2015-12-15 11:15,55.015,52.114,52.853,52.285,53.123,53.462,53.698,52.097,52.451,52.51,54.505,53.473
2015-12-15 11:30,54.898,51.964,52.735,52.201,52.942,53.317,53.549,52.041,52.304,52.36,54.392,53.449
2015-12-15 11:45,54.785,51.817,52.554,52.051,52.796,53.136,53.4,51.829,52.217,52.242,54.212,53.241
2015-12-15 12:00,54.605,51.73,52.377,51.964,52.581,52.925,53.126,51.741,52.005,52.03,54.064,53.154
2015-12-15 12:15,54.457,51.513,52.161,51.751,52.425,52.709,52.946,51.434,51.758,51.814,53.818,52.908
2015-12-15 12:30,54.274,51.325,51.914,51.472,52.174,52.522,52.54,51.19,51.447,51.504,53.448,52.724
2015-12-15 12:45,54.088,50.977,51.598,50.876,51.886,52.202,52.071,50.467,50.942,51.124,52.949,52.193
2015-12-15 13:00,53.87,50.725,51.378,50.687,51.66,52.018,51.786,50.562,50.656,50.87,52.758,52.255
2015-12-15 13:15,53.652,50.439,51.03,50.244,51.344,51.761,51.441,50.027,50.307,50.552,52.38,51.845
2015-12-15 13:30,53.431,50.149,50.775,50.052,51.121,51.504,51.184,49.992,50.052,50.266,52.158,51.779
2015-12-15 13:45,53.334,49.932,50.587,50.146,50.936,51.319,51.215,50.052,49.926,50.108,52.064,51.623
2015-12-15 14:00,53.303,49.484,50.238,49.797,50.618,50.904,51.184,49.674,49.548,49.794,51.688,50.929
2015-12-15 14:15,53.113,49.159,49.945,49.289,50.326,50.612,50.8,49.197,49.194,49.469,51.274,50.954
2015-12-15 14:30,52.95,49.153,49.686,48.967,50.099,50.322,50.668,48.875,48.935,49.242,50.891,50.543
2015-12-15 14:45,52.756,48.733,49.428,48.708,49.838,50.093,50.473,48.872,48.708,48.986,50.728,50.63
2015-12-15 15:00,52.562,48.762,49.295,48.322,49.674,49.932,50.31,48.392,48.544,48.787,50.439,50.247
2015-12-15 15:15,52.4,48.689,49.068,47.936,49.51,49.671,50.083,48.069,48.345,48.56,50.178,50.02
2015-12-15 15:30,52.174,48.399,48.873,47.74,49.346,49.507,49.951,47.809,48.243,48.459,50.045,49.822
2015-12-15 15:45,52.008,48.234,48.74,47.86,49.182,49.406,49.724,47.895,48.174,48.326,50.039,49.784
2015-12-15 16:00,51.877,48.26,48.608,47.728,49.05,49.242,49.623,47.826,48.041,48.193,49.844,49.494
2015-12-15 16:15,51.717,48.001,48.541,47.817,48.983,49.239,49.554,47.915,48.038,48.156,49.872,49.649
2015-12-15 16:30,51.617,47.963,48.44,47.399,48.883,49.043,49.453,47.595,47.906,48.058,49.614,49.485
2015-12-15 16:45,51.485,47.896,48.374,47.329,48.782,49.006,49.384,47.494,47.836,47.957,49.608,49.289
2015-12-15 17:00,51.353,47.893,48.273,47.104,48.684,48.876,49.286,47.329,47.735,47.856,49.447,49.252
2015-12-15 17:15,51.287,47.792,48.204,47.13,48.646,48.839,49.217,47.482,47.732,47.821,49.409,49.249
2015-12-15 17:30,51.124,47.628,48.071,47.063,48.514,48.706,49.056,47.352,47.599,47.688,49.277,49.116
2015-12-15 17:45,50.992,47.59,48.033,46.867,48.444,48.7,49.019,47.092,47.53,47.619,49.176,48.952
2015-12-15 18:00,50.892,47.492,47.967,46.607,48.378,48.602,48.886,46.959,47.432,47.521,49.079,48.886
2015-12-15 18:15,50.763,47.391,47.869,46.699,48.211,48.501,48.754,46.924,47.362,47.356,49.072,48.88
2015-12-15 18:30,50.632,47.287,47.705,46.245,48.142,48.369,48.685,46.474,47.23,47.319,48.814,48.495
2015-12-15 18:45,50.468,47.284,47.667,46.211,48.107,48.299,48.555,46.404,47.192,47.218,48.745,48.426
2015-12-15 19:00,50.368,47.117,47.5,46.268,48.003,48.196,48.454,46.525,47.091,47.148,48.675,48.388
2015-12-15 19:15,50.302,47.145,47.56,46.262,47.971,48.227,48.511,46.647,47.085,47.145,48.704,48.477
2015-12-15 19:30,50.299,47.148,47.56,46.259,47.911,48.23,48.543,46.707,47.053,47.114,48.701,48.445
2015-12-15 19:45,50.264,47.085,47.528,46.482,47.851,48.167,48.574,46.707,47.053,47.082,48.732,48.414
2015-12-15 20:00,50.233,47.021,47.465,46.45,47.756,48.107,48.48,46.704,46.961,47.021,48.672,48.189
2015-12-15 20:15,50.236,47.097,47.569,46.9,47.837,48.306,48.801,47.12,47.287,47.218,49.243,48.638
2015-12-15 20:30,50.246,47.118,47.711,47.036,47.859,48.359,48.943,47.287,47.426,47.359,49.447,48.811
2015-12-15 20:45,50.258,47.199,47.821,47.115,47.909,48.345,48.955,47.362,47.539,47.406,49.523,48.886
2015-12-15 21:00,50.274,47.217,47.836,47.127,47.924,48.332,48.971,47.406,47.586,47.424,49.542,48.905
2015-12-15 21:15,50.227,47.232,47.848,47.11,47.936,48.281,48.955,47.389,47.601,47.405,49.554,48.854
2015-12-15 21:30,50.146,47.244,47.863,47.093,47.948,48.233,48.936,47.341,47.613,47.448,49.504,48.806
2015-12-15 21:45,50.13,47.224,47.844,47.042,47.929,48.214,48.888,47.321,47.562,47.429,49.488,48.756
2015-12-15 22:00,50.048,47.173,47.793,47.054,47.906,48.128,48.837,47.238,47.51,47.377,49.437,48.705
2015-12-15 22:15,49.964,47.086,47.77,46.999,47.915,48.105,48.783,47.187,47.487,47.326,49.415,48.591
2015-12-15 22:30,49.913,47.032,47.716,46.947,47.861,48.019,48.733,47.1,47.433,47.303,49.333,48.537
2015-12-15 22:45,49.863,47.006,47.661,46.893,47.87,47.997,48.675,47.046,47.378,47.28,49.311,48.482
2015-12-15 23:00,49.806,46.919,47.607,46.838,47.813,47.943,48.621,46.962,47.324,47.191,49.225,48.428
2015-12-15 23:15,49.721,46.862,47.581,46.78,47.819,47.885,48.567,46.936,47.266,47.165,49.2,48.371
2015-12-15 23:30,49.699,46.868,47.555,46.725,47.761,47.859,48.542,46.879,47.209,47.107,49.111,48.314
2015-12-15 23:45,49.611,46.81,47.501,46.668,47.704,47.831,48.485,46.792,47.154,47.082,49.023,48.257
2015-12-16 0:00,49.554,46.813,47.472,46.61,47.675,47.773,48.427,46.766,47.125,47.056,48.997,48.168
2015-12-16 0:15,49.497,46.787,47.478,46.552,47.649,47.779,48.367,46.677,47.068,46.998,48.909,48.11
2015-12-16 0:30,49.437,46.822,47.449,46.491,47.589,47.782,48.31,46.682,47.074,46.937,48.851,48.085
2015-12-16 0:45,49.411,46.857,47.424,46.462,47.496,47.722,48.249,46.622,47.013,46.877,48.791,48.056
2015-12-16 1:00,49.32,46.894,47.395,46.436,47.436,47.693,48.157,46.564,46.952,46.819,48.731,47.996
2015-12-16 1:15,49.26,46.894,47.302,46.375,47.343,47.633,48.097,46.567,46.923,46.758,48.671,47.97
2015-12-16 1:30,49.231,46.897,47.239,46.346,47.248,47.569,48.036,46.57,46.894,46.665,48.547,47.97
2015-12-16 1:45,49.171,46.837,47.146,46.317,47.155,47.508,48.008,46.509,46.834,46.57,48.487,47.941
2015-12-16 2:00,49.143,46.773,47.086,46.257,47.063,47.413,47.947,46.512,46.773,46.477,48.395,47.944
2015-12-16 2:15,49.082,46.712,46.958,46.193,46.97,47.352,47.887,46.48,46.709,46.384,48.334,47.916
2015-12-16 2:30,49.022,46.651,46.897,46.164,46.906,47.292,47.855,46.451,46.648,46.32,48.271,47.887
2015-12-16 2:45,48.991,46.654,46.869,46.135,46.846,47.263,47.794,46.39,46.588,46.259,48.21,47.855
2015-12-16 3:00,48.93,46.625,46.84,46.074,46.817,47.234,47.734,46.329,46.559,46.199,48.182,47.794
2015-12-16 3:15,48.87,46.593,46.779,46.013,46.753,47.17,47.673,46.332,46.498,46.138,48.09,47.798
2015-12-16 3:30,48.842,46.53,46.715,45.949,46.66,47.11,47.61,46.303,46.402,46.045,47.994,47.769
2015-12-16 3:45,48.746,46.437,46.619,45.856,46.596,47.046,47.517,46.271,46.306,45.949,47.87,47.737
2015-12-16 4:00,48.686,46.341,46.559,45.792,46.533,46.982,47.454,46.21,46.213,45.885,47.807,47.676
2015-12-16 4:15,48.591,46.213,46.463,45.699,46.469,46.918,47.326,46.146,46.117,45.789,47.682,47.645
2015-12-16 4:30,48.496,46.114,46.335,45.635,46.402,46.823,47.199,46.082,46.053,45.693,47.587,47.613
2015-12-16 4:45,48.401,45.987,46.271,45.539,46.306,46.759,47.104,46.019,45.958,45.629,47.492,47.613
2015-12-16 5:00,48.369,45.763,46.141,45.376,46.242,46.66,47.072,45.827,45.859,45.565,47.364,47.26
2015-12-16 5:15,48.176,45.367,45.879,45.117,45.911,46.396,46.715,45.76,45.536,45.143,46.976,47.416
2015-12-16 5:30,47.849,44.732,45.219,44.239,45.266,45.856,46.065,44.886,44.974,44.385,46.036,46.7
2015-12-16 5:45,47.415,44.092,44.678,43.866,44.69,45.44,45.786,44.324,44.502,43.782,45.437,46.166
2015-12-16 6:00,47.044,43.585,44.203,43.586,44.183,45.03,45.379,43.919,44.092,43.242,45.062,45.629
2015-12-16 6:15,46.765,43.115,43.798,43.309,43.75,44.658,45.164,43.578,43.751,42.901,44.722,45.161
2015-12-16 6:30,46.522,42.839,43.522,43.03,43.444,44.353,44.92,43.301,43.41,42.595,44.446,44.885
2015-12-16 6:45,46.342,42.6,43.251,42.82,43.173,44.083,44.711,43.056,43.171,42.321,44.236,44.612
2015-12-16 7:00,46.2,42.396,43.012,42.613,42.972,43.879,44.569,42.879,42.932,42.149,44.062,44.371
2015-12-16 7:15,46.058,42.224,42.776,42.439,42.768,43.644,44.429,42.672,42.79,41.974,43.888,44.2
2015-12-16 7:30,45.948,42.116,42.672,42.267,42.631,43.475,44.29,42.533,42.618,41.805,43.748,43.996
2015-12-16 7:45,45.84,41.979,42.503,42.127,42.462,43.306,44.183,42.455,42.514,41.665,43.641,43.857
2015-12-16 8:00,45.736,41.907,42.366,42.052,42.39,43.137,44.075,42.318,42.374,41.593,43.536,43.784
2015-12-16 8:15,45.629,41.834,42.229,41.915,42.32,43.001,43.974,42.245,42.304,41.552,43.464,43.68
2015-12-16 8:30,45.559,41.894,42.288,41.939,42.414,43.03,43.933,42.301,42.264,41.612,43.552,43.768
2015-12-16 8:45,45.554,42.063,42.387,42.1,42.588,43.068,44.029,42.553,42.556,41.939,44.32,44.088
